Year,Investor or Builder,Sector,Country,Amount
2014,"State Development and Investment Corp., Anhui Conch",Real estate,Indonesia,320
2013, Tsingshan,Other,Indonesia,100
2013, Tsingshan,Metals,Indonesia,320
2013, Fosun,Metals,Indonesia,100
2024, China General Nuclear,Energy,Laos,620
2023, Power Construction Corp. (PowerChina),Energy,Laos,130
2023,Qingdao East Steel Tower,Agriculture,Laos,100
2023, Zijin Mining,Agriculture,Laos,120
2023,Yunnan Energy Investment,Energy,Laos,110
2022, Power Construction Corp. (PowerChina),Energy,Laos,750
2021,Asia Potash International,Agriculture,Laos,410
2020, Southern Power Grid,Energy,Laos,2400
2018,"China Railway Corp., China Railway Engineering",Transport,Laos,4170
2018,Shandong Sun Paper,Other,Laos,640
2018,Chifeng Jilong,Metals,Laos,280
2018,Yunnan Construction Investment,Transport,Laos,1230
2018,Hebei Construction and Investment,Energy,Laos,140
2018,Shandong Sun Paper,Other,Laos,140
2017,Yunnan Dongyan,Energy,Laos,130
2017,Hongshi,Real estate,Laos,210
2017,Yunnan Energy Investment,Energy,Laos,160
2017,Shandong Sun Paper,Other,Laos,290
2017, Three Gorges,Energy,Laos,220
2016, Power Construction Corp. (PowerChina),Energy,Laos,2030
2015,Yunnan Construction Investment,Real estate,Laos,100
2013, China North Industries (Norinco),Energy,Laos,180
2025,Chengshan Group,Transport,Malaysia,300
2025,Rianlon,Chemicals,Malaysia,190
2025,Shanghai Pret,Energy,Malaysia,100
2024,Ex-Im Bank,Energy,Malaysia,100
2024,Semcorp,Energy,Malaysia,280
2024,Zhuhai CosMX,Other,Malaysia,230
2024,Jingxing Paper,Other,Malaysia,250
2024,"Hillhouse Capital, Boyu Capital",Technology,Malaysia,100
2024,Galaxy Financial,Finance,Malaysia,170
2024,Hebei Xinwu'an,Metals,Malaysia,1910
2024,Tibet Yiwei,Energy,Malaysia,420
2023,Shenzhen Xingyuan,Energy,Malaysia,690
2023,Jiangsu Azure,Energy,Malaysia,280
2023,xFusion,Logistics,Malaysia,180
2023,"China Communications Construction, Guangxi Beibu",Logistics,Malaysia,610
2023,GDS,Technology,Malaysia,320
2023, Geely,Transport,Malaysia,230
2023, Geely,Transport,Malaysia,100
2023,Zanyu Technology,Energy,Malaysia,150
2022,Nine Dragons,Other,Malaysia,940
2022, Alibaba,Finance,Malaysia,100
2022,Jianlong Investment,Metals,Malaysia,210
2021,Nine Dragons,Other,Malaysia,300
2020,Risen Energy,Energy,Malaysia,320
2020,Country Garden,Real estate,Malaysia,310
2020,China Everbright,Other,Malaysia,140
2019, China Railway Engineering,Real estate,Malaysia,340
2019,Zhejiang Xinshengda,Other,Malaysia,290
2019,Jingxing Paper,Other,Malaysia,300
2019, China Communications Construction,Real estate,Malaysia,160
2019,LONGi Green Energy,Energy,Malaysia,240
2018,Shandong Hengyuan,Energy,Malaysia,140
2018,Tianshui Huatian,Technology,Malaysia,440
2018,Agile Property,Real estate,Malaysia,840
2017,Galaxy Financial,Finance,Malaysia,120
2017, Geely,Transport,Malaysia,110
2017,Country Garden,Real estate,Malaysia,280
2017,Qingdao Lu Haifeng,Agriculture,Malaysia,280
2016, China Communications Construction,Tourism,Malaysia,1680
2016,Guangxi Beibu,Metals,Malaysia,150
2016,LONGi Green Energy,Energy,Malaysia,240
2016,Guangxi Investment,Metals,Malaysia,140
2016, China General Nuclear,Energy,Malaysia,100
2016,Zhuzhou Kibing,Real estate,Malaysia,210
2015,"China General Nuclear, Southern Power Grid",Energy,Malaysia,5260
2015,Nantong Fujitsu,Technology,Malaysia,370
2015,SAIC Motor (Shanghai Auto),Transport,Malaysia,280
2015,Jinko Solar,Energy,Malaysia,100
2015, Shanghai Greenland,Real estate,Malaysia,660
2014,Xinyi Glass,Real estate,Malaysia,200
2014,Shandong Daiyin,Other,Malaysia,200
2013,Guangzhou R&F Properties,Real estate,Malaysia,1370
2013,China Railway Rolling Stock Corp. (CRR),Transport,Malaysia,130
2013,Comtec Solar,Energy,Malaysia,380
2013,Guangxi Beibu,Metals,Malaysia,680
2013,Guangxi Beibu,Transport,Malaysia,480
2013,Xiamen University,Other,Malaysia,190
2023, China Petroleum and Chemical (Sinopec),Energy,Sri Lanka,100
2023, China Merchants,Logistics,Sri Lanka,270
2020, China Communications Construction,Real estate,Sri Lanka,1430
2020,Shandong Haohua,Transport,Sri Lanka,300
2018, China Merchants,Transport,Sri Lanka,1120
2014, China Communications Construction,Logistics,Sri Lanka,390
2013, Aviation Industry Corp. (AVIC),Real estate,Sri Lanka,260
2024,Panhua,Metals,Philippines,1050
2019,Redco,Transport,Philippines,100
2019,China Telecom,Technology,Philippines,760
2019, China Railway Construction,Transport,Philippines,300
2018, State Grid,Energy,Philippines,400
2017, Alibaba,Finance,Philippines,190
2025,Hunan Hualian,Other,Vietnam,100
2025,Livzon Pharmaceutical,Health,Vietnam,220
2024,Chery Auto,Transport,Vietnam,120
2024,Guangxi Yuchai,Transport,Vietnam,130
2024,Victory Giant,Technology,Vietnam,260
2024,Sailun Tire,Transport,Vietnam,200
2024,Sunwoda Electronics,Other,Vietnam,300
2024,Guizhou Tyre,Transport,Vietnam,230
2024,Ningbo Boway,Energy,Vietnam,150
2024,BYD,Other,Vietnam,140
2024,GoerTek,Other,Vietnam,280
2024,Yadea Group,Transport,Vietnam,100
2024,Luxshare,Other,Vietnam,140
2023,Trina Solar,Energy,Vietnam,420
2023,Ningbo Boway,Energy,Vietnam,120
2023,Luxshare,Other,Vietnam,330
2023,Guizhou Tyre,Transport,Vietnam,180
2023,Shandong Haohua,Transport,Vietnam,470
2023,Sunny Optical,Technology,Vietnam,150
2023,Beijing Electronics,Other,Vietnam,290
2023,Guoxuan,Transport,Vietnam,150
2023,Zhejiang Yongjin,Metals,Vietnam,130
2023,LONGi Green Energy,Energy,Vietnam,110
2022,Zhejiang Xinao,Other,Vietnam,150
2022,Guoxuan,Transport,Vietnam,140
2022,BYD,Other,Vietnam,270
2021,Sungrow Power,Energy,Vietnam,320
2021,Jinko Solar,Energy,Vietnam,500
2021, Alibaba,Other,Vietnam,210
2021,Sailun Tire,Transport,Vietnam,430
2020,Xinghai Group,Energy,Vietnam,240
2020,JA Solar,Energy,Vietnam,320
2020,Global Logistics Properties,Logistics,Vietnam,750
2020,Zhejiang Yongjin,Metals,Vietnam,130
2019,Luxshare,Other,Vietnam,140
2019,China New Hope,Agriculture,Vietnam,170
2019,GoerTek,Other,Vietnam,260
2018,Shenzhen Huafu,Other,Vietnam,360
2018,Sailun Tire,Transport,Vietnam,180
2018,Guizhou Tyre,Transport,Vietnam,210
2018,China Tianying,Energy,Vietnam,180
2017,Trina Solar,Energy,Vietnam,100
2016,Luxshare,Other,Vietnam,170
2015,Sailun Tire,Transport,Vietnam,190
2015, China Energy Engineering,Energy,Vietnam,1310
2015,"Southern Power Grid, State Power Investment",Energy,Vietnam,1760
2014,Texhong Textile,Other,Vietnam,210
2013,CDH,Technology,Vietnam,110
2013,Keep Glory,Other,Vietnam,120
2024,Sunwoda Electronics,Energy,Thailand,260
2024,GDS,Technology,Thailand,830
2024,Shengyi Electronics,Technology,Thailand,100
2024,State Development and Investment Corp.,Agriculture,Thailand,400
2024, China Ocean Shipping (COSCO),Logistics,Thailand,110
2024, Haier,Other,Thailand,400
2024,Shennan Circuits,Technology,Thailand,180
2024,Golden Home,Other,Thailand,100
2023,China South Industries,Transport,Thailand,240
2023,Hongdou,Transport,Thailand,260
2023,State Development and Investment Corp.,Energy,Thailand,280
2023,Zhuhai Huafa,Technology,Thailand,130
2023,Shenzhen Kinwong,Technology,Thailand,100
2023,Zhejiang Hezhong,Transport,Thailand,210
2023,Wuxi Jones Technology,Technology,Thailand,100
2022,BYD,Transport,Thailand,490
2022,Great Wall,Transport,Thailand,120
2022,Guangdong Midea,Other,Thailand,140
2021, China Communications Construction,Logistics,Thailand,280
2020, China Railway Construction,Transport,Thailand,740
2020,Great Wall,Transport,Thailand,200
2019,Chengshan Group,Transport,Thailand,300
2019,Hebei Steel,Metals,Thailand,130
2018,Hongdou,Transport,Thailand,300
2018, Alibaba,Logistics,Thailand,320
2018,Shandong Linglong Tire,Transport,Thailand,230
2017,JD.com,Other,Thailand,230
2015,Zhongli,Energy,Thailand,300
2015,Trina Solar,Energy,Thailand,160
2015,Qingdao Sentury,Transport,Thailand,400
2014,China Mobile,Technology,Thailand,880
2013,"Railway Signal Modernization, Hanoi-Dong Dang, Hanoi-Thai Nguyen, Hanoi-Lao Cai",Transportation,Vietnam,48.39
2017,Cat Linh - Ha Dong Light Rail (13km) (Loan 3),Transportation,Vietnam,250.6
2017,Chico River Pump Irrigation Project,Agriculture,Philippines,62.09
2018,Kaliwa Dam,Water/Sanitation/Waste,Philippines,211.21
2019,Project Management Consultancy of the Philippine National Railways South Long Haul Project,Transportation,Philippines,219.78
2014,Xeset 3 Hydropower Plant (23MW),Energy,Lao People's Democratic Republic,45.66
2013,"Nam Theun 2 (NT2) Irrigation Dam, Tailrace Outlet 3",Agriculture,Lao People's Democratic Republic,29.93
2016,East Coast Rail Link (665km),Transportation,Malaysia,9421.69
2016,Nam Ngum 4 Hydropower Plant (220MW),Energy,Lao People's Democratic Republic,600
2017,Nam Chiane Hydropower Plant (104MW),Energy,Lao People's Democratic Republic,217
2015,"Transmission Line and Substations, Thavieng-Thabok (230kV)",Energy,Lao People's Democratic Republic,96
2013,"Water Supply System, Dongmarkkhai",Water/Sanitation/Waste,Lao People's Democratic Republic,88
2014,Nam Tha 1 Hydropower Plant (168MW),Energy,Lao People's Democratic Republic,400
2017,Loan to Bank of the Lao PDR,Financial Sector,Lao People's Democratic Republic,250
2016,Sigma Hydropower Station-Sekong 2 Substation Transmission and Transformation Project,Energy,Lao People's Democratic Republic,269.45
2016,"Transmission Line, Salavan-Sekong II",Energy,Lao People's Democratic Republic,377
2017,"Ring Network, Vientiane (500/230kV)",Energy,Lao People's Democratic Republic,266
2017,Banha-Sekong Power Transmission Project (500kv) (237km),Energy,Lao People's Democratic Republic,321
2018,"Transmission Lines, Thavieng Substation-Laksao (230kV), Nam Phay HPP-Thongkoun2 Substation (115kV)",Energy,Lao People's Democratic Republic,199
2016,"Electricity Transmission Line, Vientiane (115/22kV)",Energy,Lao People's Democratic Republic,76
2016,"Manado-Bitung Toll Road, Section 1 (15km)",Transportation,Indonesia,78.1
2016,"Railway Equipment Program, Phase 2",Transportation,Indonesia,175.06
2016,"Cileunyi-Sumedang-Dawuan (CISUMDAWU) Toll Road, Phase 2, Pamulihan - Sumedang (17km)",Transportation,Indonesia,219.4
2017,ZTE Fiber-to-the-Home Network Project (Loan 1),Information and Communication Technology,Indonesia,29.75
2017,ZTE Fiber-to-the-Home Network Project (Loan 2),Information and Communication Technology,Indonesia,76.5
2017,ZTE Fiber-to-the-Home Network Project (Loan 3),Information and Communication Technology,Indonesia,46.75
2020,Loan to Indonesia Eximbank for Onlending Purposes (2020 loan),Financial Sector,Indonesia,200
2018,Cileunyi-Sumedang-Dawuan Toll Road (Phase 3),Transportation,Indonesia,130.38
2013,"Vaico Irrigation Project, Phase 1",Agriculture,Cambodia,99.3
2015,"Solo-Kertosono Toll Road, Solo-Ngawi (20km Section), Ngawi-Kertosono(36km Section)",Transportation,Indonesia,198.8
2016,"Vaico Irrigation Project, Phase 2",Agriculture,Cambodia,90.25
2016,"Rural Power Grid Extension Project, Phases 5 and 6",Energy,Cambodia,84.98
2013,"Transmission Line and Substation, Phnom Penh - Bavet (115kV)",Energy,Cambodia,76.68
2017,"National Road (NR 71C), 8th China-Cambodia Friendship Bridge, Stung Treng-Krouch Chhmar, Phase 1",Transportation,Cambodia,57.51
2017,"National Road (NR 11), Nak Leoung-Thnal Torteung (96km)",Transportation,Cambodia,99.27
2016,"Phnom Penh Second Ring Road, West Section",Transportation,Cambodia,58.43
2013,"Stung Staung River Basin Water Resources Development Project, Phase 1",Agriculture,Cambodia,53.19
2013,Achang Irrigation Development Project,Agriculture,Cambodia,45.73
2013,"Stung Chikreng Water Resources Development Project, Phase 1",Agriculture,Cambodia,45.31
2016,"National Road (NR 51), Expansion",Transportation,Cambodia,37.96
2014,"National Road (NR 1577), Rehabilitation (52km)",Transportation,Cambodia,36.3
2014,"Stung Sreng Water Basin Development Project, Phase 2",Agriculture,Cambodia,43.04
2013,"National Road 6 (NR 6), Enlargement",Transportation,Cambodia,242.27
2015,"Loop Transmission Line Project, Southwestern Cambodian National Grid, Phase 1 (230kV)",Energy,Cambodia,159.16
2014,"Rural Power Grid Extension Project, Phases 3 and 4",Energy,Cambodia,94.86
2014,"National Road (NR 58), Rehabilitation",Transportation,Cambodia,119.75
2014,Huawei Fiber Optic Network Project,Information and Communication Technology,Indonesia,42.5
2014,ZTE Fiber Optic Network Project,Information and Communication Technology,Indonesia,85
2021,Prek Tnaot Irrigation and Flood Protection Project,Agriculture,Cambodia,116.27
2019,Naational Road (NR 10) (Samlot-Veal Veng-Koh Kong),Transportation,Cambodia,180.46
2019,Preah Vihear Province Reservoir Development Project,Agriculture,Cambodia,90.01
2018,Phnom Penh Ring Road No. 3,Transportation,Cambodia,259.4
2014,National Road No. 55,Transportation,Cambodia,129.31
2015,Bank Rakyat Loan (USD tranche),Financial Sector,Indonesia,700
2015,PT Bank Negara Loan (USD tranche),Financial Sector,Indonesia,700
2015,Bank Mandiri Loan (USD tranche),Financial Sector,Indonesia,700
2015,Bank Mandiri Loan (RMB tranche),Financial Sector,Indonesia,306.33
2015,PT Bank Negara Loan (RMB tranche),Financial Sector,Indonesia,304.98
2015,Bank Rakyat Loan (RMB tranche),Financial Sector,Indonesia,305.95
2020,National Road (NR 71C) Design and Construction Project,Transportation,Cambodia,126.38
2017,"Loop Transmission Line Project, Eastern Cambodian National Grid (230kV), Phase 1 Part 2",Energy,Cambodia,116.62
2019,"Central Expressway, Phase 1, Stage 1",Transportation,Sri Lanka,989.5
2020,Foreign Currency Term Financing,Financial Sector,Sri Lanka,500
2014,"Southern Expressway Extension, Section 4 (Mattala to Hambantota via Andarawewa) (25km)",Transportation,Sri Lanka,323.75
2014,"Southern Expressway Extension, Section 3 (Hambantota Hub Development
Project) (Wetiya - Mattala (Section 3) (15km)",Transportation,Sri Lanka,253.14
2013,"Water Supply and Seweage, Greater Kurunegala",Water/Sanitation/Waste,Sri Lanka,487.02
2014,"Southern Expressway Extension, Matara - Beliatta (Section 1) (30km)",Transportation,Sri Lanka,663.98
2017,"Water Supply, Katana",Water/Sanitation/Waste,Sri Lanka,54.8
2014,"Outer Circular Highway, Phase 3, Kadawatha - Kerawalapitiya, Construction (9km)",Transportation,Sri Lanka,378.55
2017,"Water Supply, Kandy - North Pathadumbara",Water/Sanitation/Waste,Sri Lanka,242.09
2018,Thalpitigala Hydropower Plant (15MW),Energy,Sri Lanka,147.9
2017,"Water Supply, Thambuttagama",Water/Sanitation/Waste,Sri Lanka,102.5
2020,Long-Term Facility for Bank of Ceylon,Financial Sector,Sri Lanka,140
2021,COVID-19 Emergency Concessional Loan Facility,Financial Sector,Sri Lanka,500
2014,"Priority Road Project, Rehabilitation and Improvement (Project 3, Phase 1)",Transportation,Sri Lanka,300
2014,"Priority Road Project, Rehabilitation and Improvement (Project 3, Phase 2)",Transportation,Sri Lanka,100
2016,"Water Supply, Gampaha Attanagalla, Minuawngoda",Water/Sanitation/Waste,Sri Lanka,195
2013,Matara-Kataragama Railway Line Extension (Matara-Beliatta Section) (RMB tranche),Transportation,Sri Lanka,81.94
2017,"Valachchenai Water Supply Project and Banadarawela, Diyathalawa and Haputhale Water Supply Project",Water/Sanitation/Waste,Sri Lanka,242.66
2017,Consultancy Services for Extension of Southern Expressway,Transportation,Sri Lanka,85.36
2018,National Road 3: Phnom Penh (Chom Chao) - Bek Kus - Kampot Town,Transportation,Cambodia,208.92
2022,Kratie Bridge over Mekong River,Transportation,Cambodia,108.88
2022,Upgrading of National Road No.7 (Skun-Kampong Cham),Transportation,Cambodia,111.76
2023,Dang Kambet Reservoir Development,Water/Sanitation/Waste,Cambodia,160.73
2022,National Road No.31 Reconstruction and Upgrading,Transportation,Cambodia,57.17
2022,National Road No.33 Reconstruction and Upgrading,Transportation,Cambodia,58.33
2022,Sihanuokville-Hongkong Submarine Cable,Information and Communication Technology,Cambodia,173
2013,Matara-Kataragama Railway Line Extension (Matara-Beliatta Section) (USD Tranche),Transportation,Sri Lanka,200
2017,"Stung Atay Pursat Dam, Phase 2 (120 MW)",Energy,Cambodia,45.71
2020,"Rural Power Grid Extension, Phase 7",Energy,Cambodia,78.15
2023,Highway 41 Upgrading and Reconstruction,Transportation,Cambodia,64.09
2018,Nabong-Nam Ngum 1-Hin Heup Power Transmission Line (230kV),Energy,Lao People's Democratic Republic,162.35
2022,Davao City Connector Bridge,Transportation,Philippines,337.5
2015,"Balikpapan-Samarinda Road, Section/Package 5 (11km)",Transportation,Indonesia,53.4
2013,"Hambantota Port Development, Phase 1, Ancillary Work and Equipment Purchase",Transportation,Sri Lanka,154.84
2013,Ninh Binh Fine Coal Based Urea Plant Project,Industry and Trade/Services,Vietnam,45
2017,Pak Lay Hydropower Plant (770MW),Energy,Lao People's Democratic Republic,1700
2017,Houay La Nge Hydropower Plant (60MW),Energy,Lao People's Democratic Republic,90
2022,Serang-Panimbang State Toll Road Project 3,Transportation,Indonesia,259
2013,Jatigede Hydropower Plant (110MW),Energy,Indonesia,117
2014,"Hanoi-Lang Son Expressway (Phase 1), Bac Giang-Lang Son (64km)",Transportation,Vietnam,300
2014,Vinh Tan 1 Coal Plant (1240MW),Energy,Vietnam,467
2019,Syndicated loan to Indonesia Eximbank for onlending purposes (2019 loan) (CDB and CHEXIM Contributions),Financial Sector,Indonesia,80
2020,Facility C of Second 2020 Syndicated loan to Bank Rakyat (CDB Contribution),Financial Sector,Indonesia,150
2013,Load Dispatch Center Project (Phase 1),Energy,Lao People's Democratic Republic,55
2022,Semarang-Demak Toll Road 2,Transportation,Indonesia,676.09
2015,Electronic Identification Card Project,Information and Communication Technology,Lao People's Democratic Republic,31.88
2015,Unspecified Culture and Infrastructure Projects,Other,Vietnam,200
2016,"Southern Expressway Extension, Beliatta - Wetiya (Section 2) (26km)",Transportation,Sri Lanka,279.36
2021,Development Support Financing Facility Agreement,Financial Sector,Sri Lanka,310.08
2018,Budgetary Support,Financial Sector,Sri Lanka,1000
2023,"Three Priority Bridges Crossing Pasig-Marikina River and Manggahan Floodway, including North–South Harbor Bridge",Transportation,Philippines,201.8
2020,First 2020 syndicated loan to Bank Rakyat,Financial Sector,Indonesia,86
2020,Facility A of Second 2020 Syndicated Loan to Bank Rakyat (CDB Contribution),Financial Sector,Indonesia,129
2013,Vinh Ha Hydropower Plant (21MW),Energy,Vietnam,30
2019,Tanjung Kidurong Gas-fired Power Plant (1159MW),Energy,Malaysia,100
2017,"Transmission Line and Substation, Pak Ngeuy-Pha Oudom (230kV)",Energy,Lao People's Democratic Republic,169
2014,Takalar Coal Plant (200MW),Energy,Indonesia,240.98
2014,Pangkalan Susu Coal Plant (440MW),Energy,Indonesia,373.01
2017,"Jakarta-Bandung Railway, KCIC (142km)",Transportation,Indonesia,4500
2017,"Loop Transmission Line Project, Southwestern and Eastern Cambodian National Grid (230 kV), Phase 2",Energy,Cambodia,176.49
2020,Backbone & Sub-Region Transmission Line Project (500kV),Energy,Cambodia,111.99
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
